"Message","Truth","Experiment"
"using the remote control, press the i/p button located on the bottom right corner of the remote.",1,"train_pos"
"the i/p button switches the tv display between interlace and progressive.",1,"train_pos"
"press the p/n button located on the bottom right corner of the remote.",1,"train_pos"
"the p/n button switches your dvd players video output signal between pal and ntsc.",1,"train_pos"
"by pressing p/n, you should be able to get a good picture on the screen.",1,"train_pos"
"for other problems go to http://www.apexdigitalinc.com/support.asp  i hope i have helped you continue to enjoy the apex dvd player with these troubleshooting tips.",1,"train_pos"
"im a more happier person after discovering the i/p button!",1,"train_pos"
"but, if you're looking for my opinion of the apex dvd player, i love it!",1,"train_pos"
"it practically plays almost everything you give it.",1,"train_pos"
"i've had the player for about 2 years now and it still performs nicely with the exception of an occasional wwhhhrrr sound from the motor.",1,"train_pos"
"for the price it is a well spent investment!",1,"train_pos"
"i would recommend buying one.",1,"train_pos"
"incredibe price / performance.",1,"train_pos"
"i've owned 6 or 7 dvd players since 1998.  this is by far the nicest one, in so many ways.",1,"train_pos"
"it's very sleek looking with a very good front panel button layout, and it has a great feature set.",1,"train_pos"
"its fast-forward and rewind work much more smoothly and consistently than those of other models i've had.",1,"train_pos"
"it plays alternate video formats (vcds, svcds, cvds) very well.",1,"train_pos"
"and amazon.com has it for such a great price -- how can you go wrong?",1,"train_pos"
"i've bought one for the den and will buy a 2nd one for the bedroom.",1,"train_pos"
"strengths are well listed by other reviewers.",1,"train_pos"
"what got me to buy was the reviewer that said it would play dvd-rs fill of files (e., mp3s).",1,"train_pos"
"it sure does!",1,"train_pos"
"that's a rare and valuable feature.",1,"train_pos"
"i have a dvd burner on my computer and a zillion mp3s, and it's a lot nicer to access them 4.5 gb at a time (dvd-r) than 0.7 gb at a time (cd-r)!",1,"train_pos"
"another nice thing is that the unit has both optical and coax digital audio outputs, though the latter was not mentioned in the literature i'd scanned before buying.",1,"train_pos"
"saved me from having to buy an expensive optical cable, as i already had a coax cable.",1,"train_pos"
"at double-speed (2x forward speed), it still plays mp3s with sound -- they are pitch-corrected and smooth, but twice as fast!",1,"train_pos"
") before getting back to normal size [ sorry if i'm just ignorant of a way to get back to 1x quickly ].",1,"train_pos"
"if you're a bargain hunter and you want a great feature set for a rock-bottom price, i highly recommend this model.",1,"train_pos"
"update: the finish is more "" mirror "" than silver -- and i like it!",1,"train_pos"
"player works and looks great - if you can get the dvd's to play.",1,"train_pos"
"for the first few weeks, this player was everything i expected it to be, an affordable multi-format dvd player with a stylish slim case as advertised.",1,"train_pos"
"great value.",1,"train_pos"
"i bought this apex 2600 dvd player for myself at christmas because it got good reviews as a good value for the money on a variety of different sites.",1,"train_pos"
"i took it to my father's house to play a tom jones concert dvd and he loved the player so much i gave it to him.",1,"train_pos"
"now i need to buy myself another one!",1,"train_pos"
"have used it frequently and have had no problems.",1,"train_pos"
"i always research electronics online before i buy because even within the same company, some models are better than others.",1,"train_pos"
"i liked this one enough to buy another.",1,"train_pos"
"my dad also has an apex tv and it was another great value for the money.",1,"train_pos"
"great quality picture and features.",1,"train_pos"
"i've bought 3 apex dvd players now.",1,"train_pos"
"i've had no problems.",1,"train_pos"
"the apex 2600 has been a steady performer for me.",1,"train_pos"
"i bought mine in december of 2003, and have had no real problems with it.",1,"train_pos"
"""  this problem vanished after the first month, so i assume it was a temporary dust issue.",1,"train_pos"
"the fact that this model would play jpeg slideshows was a big plus for me as a visual artist, and i discovered by accident (it is not mentioned anywhere in the literature) that it will play mpeg1 files on a regular cd-r data disk without vcd formatting.",1,"train_pos"
"i especially like the more commonly used buttons, such as play, pause, and stop, to be larger and conveniently placed.",1,"train_pos"
"this model has come down in price since i purchased mine.",1,"train_pos"
"while it seems like some people have had trouble with theirs, mine has run well, and i would recommend it if you are considering a dvd player purchase.",1,"train_pos"
"while i would like to give it 3.5 stars instead of 4, i gave it a 4 because it has run well for me during the time i have owned it.",1,"train_pos"
"ok if you have a 2nd dvd player.",1,"train_pos"
"nothing has broken on it, and it plays all the dvds i have.",1,"train_pos"
"i purchased this as a christmas gift for my husband.",1,"train_pos"
"we tried it out christmas night and it worked great.",1,"train_pos"
"even viewed cds full of jpgs.",1,"train_pos"
"they authorized my late return, and hopefully they are giving apex heck.",1,"train_pos"
"if anybody knows of a remote to work this-i'd love to hear from you!",1,"train_pos"
"i purchased the ad2600 after feeling comfortable with the reviews i read here on amazon.",1,"train_pos"
"most of the dvds i was trying were fairly new and were in great condition.",1,"train_pos"
"this dvd player plays raw mpeg2 and mpeg1 videos, jpeg, wma, cdr / cdrw / dvdr / dvdrw, and of course plays dvd movies from uk.",1,"train_pos"
"i love the aiff, progressive scan feature.",1,"train_pos"
"now it would have gotten 5 stars had this baby come with features to upgrade the firmware and was able to play divx or avi videos.",1,"train_pos"
"but for $ 49.99 go get one!",1,"train_pos"
"what a buy... i accually didn't buy the apex ad-2600 from amazon but, the reviews i found here helped me purchase it.",1,"train_pos"
"i have owned an apex ad-3201 for close to 3 years now and i love that deck.",1,"train_pos"
"because of it's hidden features (no macrovision, non-regional) i keep this baby around to watch non-american region dvd's.",1,"train_pos"
"the cool thing about the ad-2600 it plays alot of different file like mp3, wma cds, jpeg and kodak picture cds, dvd's, dvd - / + r's.",1,"train_pos"
"it's not a listed feature but, the one thing that sold the unit is that it plays mpeg video.",1,"train_pos"
"i find this to be a great feature.",1,"train_pos"
"i've tried playing all of these discs and they all play great.",1,"train_pos"
"for the money apex machines have good features.",1,"train_pos"
"it's low profile, space saving design looks nice.",1,"train_pos"
"i find the apex ad-2600 to be a great buy.",1,"train_pos"
"i received this dvd player free with the purchase of a palm tungsten e from officemax.",1,"train_pos"
"best player for the buck.",1,"train_pos"
"i was surprised to find that not only could this dvd player play mpeg2 format which allowed me to stack 2 movies on a dvd, but it also was able to play vob files which i created with smart ripper.",1,"train_pos"
"the aff feature did a great job converting the letterbox to fill 3/4 of the screen and the image still looked normal.",1,"train_pos"
"loved the slim design.",1,"train_pos"
"most bang for the buck.",1,"train_pos"
"i recieved my 2600 4 days ago and feel that this may be the best $ 50 i have ever spent.",1,"train_pos"
"it plays all my back-ups, + or -, and everything else i have put in it without a hick up.",1,"train_pos"
"audio is excellent.",1,"train_pos"
"well worth the money.",1,"train_pos"
"for the price, an excellent buy.",1,"train_pos"
"after having bought and been disappointed in another brand of dvd player, i purchased the apex ad2600 from amazon and first of all i should say it was delivered much more quickly than i had expected.",1,"train_pos"
"(good going, amazon).",1,"train_pos"
"i am very pleased with the apex ad2600.it plays just about anything you put in the drawer.",1,"train_pos"
"so far i've played regular dvd's, backup dvd-r's, mp3 cd's, and regular cd's.",1,"train_pos"
"i have not yet tried the photo show capability, but i'm thinking that will probably work well too, based on the success with the above mentioned disks.",1,"train_pos"
"i do want to mention too that it is certainly worthwhile to read the instruction manual that comes with the unit.",1,"train_pos"
"so, if you read the instructions well, you shouldn't have any problems with this dvd unit.",1,"train_pos"
"i can't speak to its long-term reliability, as i've only had the apex ad2600 for a little over a week at this point.",1,"train_pos"
